tag_id,name,breed,age_years,weight_kg,health_status,owner_id,farm_id,milk_yield_liters,last_vaccination,gps_lat,gps_lng,image_url,created_at
CTL-001,Lakshmi,Gir,11,257,healthy,u2,FARM-01,0,2026-01-16,17.380501,78.481164,https://images.unsplash.com/photo-1570042225831-d98fa7577f1e?w=200&h=200&fit=crop,2024-06-05T10:11:31.952207+00:00
CTL-002,Ganga,Sahiwal,7,216,healthy,u2,FARM-01,6.0,2025-07-30,17.379373,78.486807,https://images.unsplash.com/photo-1546445317-29f4545e9d53?w=200&h=200&fit=crop,2025-06-19T10:11:31.952207+00:00
CTL-003,Nandi,Red Sindhi,8,501,healthy,u2,FARM-01,9.3,2025-10-10,17.392386,78.491876,https://images.unsplash.com/photo-1587299142189-e14e9047839a?w=200&h=200&fit=crop,2025-08-24T10:11:31.952207+00:00
CTL-004,Kamadhenu,Ongole,4,372,healthy,u2,FARM-01,7.0,2026-02-07,17.382599,78.48388,https://images.unsplash.com/photo-1545468800-85cc9bc6ecf7?w=200&h=200&fit=crop,2024-10-17T10:11:31.952207+00:00
CTL-005,Surabhi,Tharparkar,9,263,sick,u2,FARM-01,0,2025-08-28,17.382571,78.487741,https://images.unsplash.com/photo-1527153907836-6c12e3d0e1f0?w=200&h=200&fit=crop,2024-06-18T10:11:31.952207+00:00
CTL-006,Gauri,Kankrej,4,235,healthy,u2,FARM-01,6.5,2026-01-09,17.379558,78.482488,https://images.unsplash.com/photo-1583212292454-1fe6229603b7?w=200&h=200&fit=crop,2025-01-06T10:11:31.952207+00:00
CTL-007,Govinda,Hallikar,5,432,healthy,u2,FARM-01,7.0,2026-01-24,17.382297,78.484104,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=200&h=200&fit=crop,2024-05-17T10:11:31.952207+00:00
CTL-008,Meera,Deoni,11,287,healthy,u2,FARM-01,16.9,2025-11-09,17.379896,78.485945,https://images.unsplash.com/photo-1560114928-40f1f1eb26a0?w=200&h=200&fit=crop,2025-03-04T10:11:31.952207+00:00
CTL-009,Shakti,Rathi,1,317,healthy,u2,FARM-01,16.7,2025-09-21,17.391101,78.484723,https://images.unsplash.com/photo-1568572933382-74d440642117?w=200&h=200&fit=crop,2025-06-27T10:11:31.952207+00:00
CTL-010,Parvati,Hariana,11,455,healthy,u2,FARM-01,6.7,2025-10-18,17.393291,78.485877,https://images.unsplash.com/photo-1584714268709-c3dd9c92b1a4?w=200&h=200&fit=crop,2024-06-11T10:11:31.952207+00:00
CTL-011,Radha,Gir,7,498,healthy,u2,FARM-01,4.4,2026-02-05,17.379386,78.496651,https://images.unsplash.com/photo-1570042225831-d98fa7577f1e?w=200&h=200&fit=crop,2025-10-10T10:11:31.952207+00:00
CTL-012,Krishna,Sahiwal,3,521,healthy,u2,FARM-01,11.9,2025-07-05,17.38861,78.488628,https://images.unsplash.com/photo-1546445317-29f4545e9d53?w=200&h=200&fit=crop,2024-08-07T10:11:31.952207+00:00
CTL-013,Durga,Red Sindhi,5,483,sick,u2,FARM-01,11.1,2025-10-16,17.37523,78.491114,https://images.unsplash.com/photo-1587299142189-e14e9047839a?w=200&h=200&fit=crop,2025-02-16T10:11:31.952207+00:00
CTL-014,Rani,Ongole,2,350,healthy,u2,FARM-01,0,2025-10-18,17.384074,78.495776,https://images.unsplash.com/photo-1545468800-85cc9bc6ecf7?w=200&h=200&fit=crop,2024-09-05T10:11:31.952207+00:00
CTL-015,Bhumi,Tharparkar,3,459,sick,u2,FARM-01,12.1,2025-12-13,17.39241,78.482669,https://images.unsplash.com/photo-1527153907836-6c12e3d0e1f0?w=200&h=200&fit=crop,2025-01-13T10:11:31.952207+00:00
CTL-016,Sita,Kankrej,3,476,sick,u2,FARM-01,10.3,2026-01-03,17.393449,78.49507,https://images.unsplash.com/photo-1583212292454-1fe6229603b7?w=200&h=200&fit=crop,2025-01-24T10:11:31.952207+00:00
CTL-017,Savitri,Hallikar,5,322,healthy,u2,FARM-01,10.3,2026-01-25,17.39256,78.495639,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=200&h=200&fit=crop,2024-08-03T10:11:31.952207+00:00
CTL-018,Janaki,Deoni,3,265,healthy,u2,FARM-01,12.1,2025-11-13,17.393937,78.480003,https://images.unsplash.com/photo-1560114928-40f1f1eb26a0?w=200&h=200&fit=crop,2024-07-27T10:11:31.952207+00:00
CTL-019,Rohini,Rathi,12,302,healthy,u2,FARM-01,16.5,2025-07-13,17.38298,78.490134,https://images.unsplash.com/photo-1568572933382-74d440642117?w=200&h=200&fit=crop,2025-09-29T10:11:31.952207+00:00
CTL-020,Chandra,Hariana,4,315,healthy,u2,FARM-01,3.1,2026-01-30,17.375421,78.487778,https://images.unsplash.com/photo-1584714268709-c3dd9c92b1a4?w=200&h=200&fit=crop,2025-06-10T10:11:31.952207+00:00
CTL-021,Tulsi,Tharparkar,2,216,sick,u3,FARM-02,6.2,2025-12-24,17.969817,79.58886,https://images.unsplash.com/photo-1527153907836-6c12e3d0e1f0?w=200&h=200&fit=crop,2024-06-25T10:11:31.952207+00:00
CTL-022,Annapurna,Kankrej,10,442,healthy,u3,FARM-02,12.9,2025-09-01,17.977859,79.592241,https://images.unsplash.com/photo-1583212292454-1fe6229603b7?w=200&h=200&fit=crop,2024-11-23T10:11:31.952207+00:00
CTL-023,Devaki,Hallikar,7,439,sick,u3,FARM-02,3.9,2025-09-09,17.969483,79.597169,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=200&h=200&fit=crop,2025-10-11T10:11:31.952207+00:00
